City_ID,City,Country,Date,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind speed
254,masunga,BW,1584297732,27.45,-20.62,77.0,65,100,3.36
255,kaitangata,NZ,1584297733,169.85,-46.28,52.0,89,90,22.93
256,kiruna,SE,1584297664,20.23,67.86,24.8,92,75,1.12
257,olinda,BR,1584297733,-34.86,-8.01,84.2,70,40,10.29
258,port macquarie,AU,1584297733,152.92,-31.43,61.0,100,75,6.93
259,isabela,PH,1584297733,121.97,6.71,75.2,94,75,3.13
260,shrewsbury,GB,1584297733,-2.75,52.71,46.99,65,40,9.17
261,ahome,MX,1584297733,-109.18,25.92,69.8,56,90,16.11
262,mahon,ES,1584297734,4.27,39.89,55.4,76,0,8.05
263,kristiansund,NO,1584297669,7.73,63.11,37.4,59,75,25.28
264,ilulissat,GL,1584297734,-51.1,69.22,-5.8,39,20,10.29
265,novopskov,UA,1584297734,39.09,49.55,30.0,52,71,11.27
266,sibu,MY,1584297484,111.82,2.3,77.0,94,75,2.24
267,volkhov,RU,1584297734,32.34,59.93,28.99,32,15,10.69
268,la libertad,EC,1584297734,-80.9,-2.23,86.0,66,40,9.17
269,guaruja,BR,1584297531,-46.26,-23.99,89.6,45,20,9.17
270,aranos,NA,1584297735,19.12,-24.13,82.74,16,0,4.27
271,houma,US,1584297600,-90.72,29.6,82.99,50,1,5.82
272,padang,ID,1584297735,100.35,-0.95,69.6,92,72,5.35
273,chekhov,RU,1584297735,37.47,55.14,28.0,73,40,11.18
274,puerto ayora,EC,1584297735,-90.35,-0.74,86.0,70,20,11.41
275,yumen,CN,1584297735,97.2,40.28,35.4,23,100,7.92
276,avera,US,1584297736,-82.53,33.19,73.4,72,90,6.93
277,nhulunbuy,AU,1584297736,136.77,-12.23,75.2,88,0,4.7
278,progreso,MX,1584297736,-89.67,21.28,91.4,41,75,11.41
279,roald,NO,1584297736,6.13,62.58,37.4,74,75,24.16
280,esperance,AU,1584297736,121.9,-33.87,69.8,77,27,8.05
281,bada,RU,1584297736,109.87,51.39,21.0,92,59,5.57
282,puerto ayacucho,VE,1584297736,-67.62,5.66,97.5,34,67,4.23
283,kirakira,SB,1584297737,161.92,-10.45,76.62,92,100,8.23
284,anchorage,US,1584297736,-149.9,61.22,19.0,71,1,2.24
285,nalut,LY,1584297737,10.85,30.33,67.8,25,0,13.58
286,bull savanna,JM,1584297737,-77.59,17.89,83.28,46,0,6.87
287,pemangkat,ID,1584297737,108.97,1.17,76.98,93,53,7.36
288,lichinga,MZ,1584297737,35.24,-13.31,72.66,88,37,2.37
289,half moon bay,US,1584297737,-122.43,37.46,53.6,71,75,11.41
290,oranjemund,NA,1584297738,16.43,-28.55,63.66,80,0,20.83
291,salta,AR,1584297738,-65.41,-24.79,86.0,61,75,16.11
292,van buren,US,1584297738,-94.35,35.44,53.01,76,90,4.7
293,lastoursville,GA,1584297738,12.73,-0.81,75.36,93,88,3.96
294,aitape,PG,1584297738,142.35,-3.14,81.66,75,100,11.05
295,beloha,MG,1584297738,45.05,-25.17,72.48,87,18,12.62
296,ngunguru,NZ,1584297738,174.5,-35.62,59.0,92,100,7.0
297,zhicheng,CN,1584297738,111.5,30.3,57.0,79,88,1.45
298,griffith,US,1584297712,-87.42,41.53,43.0,55,1,11.41
299,abnub,EG,1584297739,31.15,27.27,71.94,44,0,6.91
300,raduzhnyy,RU,1584297739,77.47,62.1,25.32,97,98,4.85
301,storforshei,NO,1584297739,14.52,66.4,32.0,96,90,2.24
302,helena,US,1584297739,-112.04,46.59,7.0,60,90,4.7
303,ulagan,RU,1584297739,87.96,50.63,17.22,68,24,8.84
304,ulan-ude,RU,1584297739,107.61,51.83,30.2,86,62,2.24
305,huarmey,PE,1584297740,-78.15,-10.07,85.26,46,47,11.1
306,pierre,US,1584297574,-100.35,44.37,35.01,76,90,20.8
307,samarai,PG,1584297740,150.67,-10.62,75.18,84,98,4.05
308,kathu,TH,1584297740,98.33,7.92,84.2,66,20,10.29
309,kibala,TD,1584297740,18.35,9.11,86.52,11,55,2.13
310,imbituba,BR,1584297740,-48.67,-28.24,89.6,62,29,11.41
311,buraydah,SA,1584297740,43.98,26.33,66.2,59,0,9.17
312,alegrete,BR,1584297740,-55.79,-29.78,76.62,83,100,11.18
313,kulhudhuffushi,MV,1584297741,73.07,6.62,83.82,72,2,5.32
314,gayeri,BF,1584297741,0.49,12.65,94.26,8,54,7.02
315,lagoa,PT,1584297741,-27.98,39.05,58.62,70,0,3.98
316,pajapan,MX,1584297741,-94.7,18.25,82.4,78,75,13.87
317,arroyo,ES,1584297741,-4.8,41.61,57.0,62,20,13.87
318,nadym,RU,1584297741,72.52,65.53,-2.94,92,98,8.59
319,sao filipe,CV,1584297741,-24.5,14.9,72.84,69,0,20.51
320,blagoyevo,RU,1584297741,47.92,63.37,9.12,93,55,6.02
321,northam,GB,1584297742,-4.22,51.03,46.0,87,20,10.29
322,katsuura,JP,1584297742,140.3,35.13,42.8,81,99,9.17
323,barranca,PE,1584297742,-77.77,-10.75,73.92,88,85,12.06
324,songea,TZ,1584297742,35.65,-10.68,69.6,90,100,1.61
325,te anau,NZ,1584297742,167.72,-45.42,51.6,79,83,6.85
326,conway,US,1584297716,-92.44,35.09,50.0,81,90,13.87
327,ust-kuyga,RU,1584297742,135.6,70.02,-20.22,79,0,10.22
328,yevpatoriya,UA,1584297743,33.36,45.2,39.72,43,100,21.05
329,eirunepe,BR,1584297743,-69.87,-6.66,86.88,72,76,4.18
330,saint-denis,FR,1584297743,2.33,48.92,59.0,50,43,6.93
331,dicabisagan,PH,1584297743,122.42,17.08,73.02,88,98,10.83
332,mount darwin,ZW,1584297743,31.58,-16.77,68.7,90,99,3.02
333,trat,TH,1584297743,102.5,12.5,77.0,81,63,1.07
334,sept-iles,CA,1584297498,-66.38,50.2,21.2,62,90,14.99
335,yerofey pavlovich,RU,1584297743,121.97,53.97,8.58,89,79,1.45
336,kalasin,TH,1584297744,103.5,16.5,82.02,50,40,7.43
337,pisco,PE,1584297744,-76.22,-13.7,73.99,30,77,8.05
338,saint-augustin,CA,1584297744,-58.65,51.23,26.22,63,100,14.03
339,hami,CN,1584297744,93.45,42.8,38.46,25,18,2.59
340,bilma,NE,1584297744,12.92,18.69,68.88,11,0,1.41
341,cabedelo,BR,1584297744,-34.83,-6.98,77.0,94,90,10.29
342,tautira,PF,1584297744,-149.15,-17.73,84.2,66,20,5.82
343,baykit,RU,1584297745,96.37,61.67,26.76,90,99,7.29
344,kalyazin,RU,1584297745,37.84,57.24,26.76,67,59,8.66
345,college,US,1584297745,-147.8,64.86,27.0,92,90,1.3
346,richards bay,ZA,1584297745,32.04,-28.78,79.32,82,18,16.93
347,eskilstuna,SE,1584297745,16.51,59.37,46.0,75,100,17.22
348,resende,BR,1584297745,-44.45,-22.47,79.5,80,26,3.44
349,aldan,RU,1584297745,125.39,58.6,11.46,91,99,8.01
350,san cristobal,VE,1584297555,-72.22,7.77,80.6,61,75,8.05
351,sakakah,SA,1584297746,40.21,29.97,64.4,45,5,3.36
352,pahrump,US,1584297746,-115.98,36.21,64.0,47,1,13.87
353,kropotkin,RU,1584297746,40.58,45.44,40.26,41,100,10.27
354,abong mbang,CM,1584297746,13.18,3.98,80.4,25,35,1.54
355,faanui,PF,1584297746,-151.75,-16.48,82.56,77,4,13.94
356,kargasok,RU,1584297746,80.86,59.06,32.16,98,100,12.71
357,kisumu,KE,1584297747,34.76,-0.1,67.62,81,100,1.68
358,nakusp,CA,1584297747,-117.8,50.25,5.88,94,8,5.39
359,cayenne,GF,1584297747,-52.33,4.93,87.8,62,40,12.75
360,zhezkazgan,KZ,1584297747,67.71,47.8,36.66,74,100,2.95
361,bethel,US,1584297747,-73.41,41.37,52.0,20,1,11.41
362,harlingen,US,1584297588,-97.7,26.19,84.2,58,90,11.41
363,sibolga,ID,1584297747,98.78,1.74,72.12,94,100,3.76
364,ler,SS,1584297747,30.14,8.3,89.58,18,82,2.06
365,aykhal,RU,1584297747,111.5,66.0,23.0,79,100,6.71
366,killam,CA,1584297748,-111.85,52.78,1.99,67,18,1.99
367,kachug,RU,1584297748,105.88,53.96,22.98,91,53,6.08
368,camacupa,AO,1584297467,17.48,-12.02,66.18,94,100,2.46
369,marawi,PH,1584297748,124.29,8.0,72.0,80,16,4.0
370,fort nelson,CA,1584297748,-122.7,58.81,17.6,52,75,4.7
371,taltal,CL,1584297748,-70.48,-25.4,67.08,67,7,6.76
372,kargopol,RU,1584297748,38.95,61.51,20.46,83,0,8.34
373,muzhi,RU,1584297748,64.67,65.37,-3.12,99,74,3.53
374,rocha,UY,1584297749,-54.33,-34.48,70.32,55,98,11.07
375,oussouye,SN,1584297749,-16.55,12.48,95.0,65,55,11.41
376,kushmurun,KZ,1584297749,64.63,52.45,30.72,83,15,10.94
377,mogadishu,SO,1584297749,45.34,2.04,82.92,82,0,21.85
378,ormara,PK,1584297749,64.64,25.21,73.38,68,100,2.71
379,kashi,CN,1584297749,75.98,39.45,46.4,24,0,6.71
380,lavrentiya,RU,1584297749,-171.0,65.58,28.56,98,100,7.92
381,moose factory,CA,1584297750,-80.61,51.26,6.8,55,1,5.82
382,andenes,NO,1584297750,16.12,69.31,26.6,79,95,8.05
